                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1242,                 2.2139,                 1.5404,                0.74589,                   0.65,                0.85514,                 0.6192,                 1.6802,                 1.2319,                 1.3835,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.83464,                 1.4699,                 1.2103,                0.71049,                0.65473,                0.85534,                0.61104,                 1.6807,                 1.2738,                 1.3832,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.1528,                 1.8595,                 1.4507,                0.71049,                0.65473,                0.85534,                0.61104,                 1.6807,                 1.2738,                 1.3832,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.91843,                  1.671,                 1.3978,                0.70524,                 0.6685,                0.85545,                0.61336,                 1.7015,                 1.3025,                 1.3981,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.80106,                 1.2417,                 1.1405,                0.70524,                 0.6685,                0.85545,                0.61336,                 1.7015,                 1.3025,                 1.3981,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.99737,                 1.5272,                 1.2718,                0.70067,                0.67248,                0.85551,                0.61082,                 1.6703,                 1.3097,                 1.3778,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.2656,                 2.3498,                 1.5981,                0.70067,                0.67248,                0.85551,                0.61082,                 1.6703,                 1.3097,                 1.3778,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.97959,                 1.4334,                 1.2941,                0.69188,                0.66667,                0.85204,                0.60885,                 1.6807,                 1.3464,                 1.3837,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.81024,                 1.2602,                  1.214,                0.69188,                0.66667,                0.85204,                0.60885,                 1.6807,                 1.3464,                 1.3837,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.78165,                 1.3185,                 1.3426,                0.67238,                0.68914,                0.85241,                0.60751,                 1.6662,                 1.3778,                 1.3798,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0574,                 1.2516,                 1.3105,                0.67238,                0.68914,                0.85241,                0.60751,                 1.6662,                 1.3778,                 1.3798,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.88716,                 2.1652,                 1.3033,                0.66428,                    0.7,                0.85262,                0.59109,                 1.6812,                 1.4122,                 1.3879,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.96218,                 1.4773,                 1.2011,                0.66428,                    0.7,                0.85262,                0.59109,                 1.6812,                 1.4122,                 1.3879,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.78396,                 1.1146,                 1.1731,                0.64698,                    0.7,                 0.8524,                 0.5836,                 1.6494,                 1.4475,                 1.3701,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.45788,                0.70339,                0.96922,                0.64698,                    0.7,                 0.8524,                 0.5836,                 1.6494,                 1.4475,                 1.3701,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.64685,                0.93532,                 1.0205,                0.67388,                0.69073,                0.85257,                0.56179,                 1.6249,                 1.4791,                 1.3648,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.80203,                0.83737,                 1.1667,                0.67388,                0.69073,                0.85257,                0.56179,                 1.6249,                 1.4791,                 1.3648,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.75765,                0.92574,                 1.0611,                0.68205,                0.66551,                0.76929,                0.48791,                  1.595,                 1.4894,                 1.3566,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.88003,                 1.8828,                 1.2773,                0.68205,                0.66551,                0.76929,                0.48791,                  1.595,                 1.4894,                 1.3566,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.84655,                 1.2215,                 1.2284,                0.67828,                   0.65,                0.76238,                0.47306,                 1.6217,                 1.5288,                 1.3844,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  1.075,                0.98523,                 1.4513,                0.67828,                   0.65,                0.76238,                0.47306,                 1.6217,                 1.5288,                 1.3844,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.61284,                0.92502,                0.99461,                0.69173,                   0.65,                0.76251,                0.47229,                 1.6101,                 1.5454,                 1.3809,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.81888,                 0.9971,                 1.2685,                0.69173,                   0.65,                0.76251,                0.47229,                 1.6101,                 1.5454,                 1.3809,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 0.8852,                 1.4621,                 1.3611,                0.73609,                   0.65,                 0.7323,                0.43907,                 1.6229,                 1.6017,                  1.387,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.78689,                 1.6324,                  1.172,                0.73609,                   0.65,                 0.7323,                0.43907,                 1.6229,                 1.6017,                  1.387,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.67312,                0.72239,                 1.2456,                0.68326,                0.65151,                0.70529,                0.41424,                 1.6243,                 1.6216,                 1.3881,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.80277,                0.81115,                 1.2945,                0.68326,                0.65151,                0.70529,                0.41424,                 1.6243,                 1.6216,                 1.3881,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.85909,                0.83735,                 1.1561,                0.65652,                0.67662,                0.69629,                0.40609,                 1.5928,                 1.6341,                  1.381,             3.0048e-05,             3.0048e-05,             3.0048e-05
